Syllable,Vruta ID,Number of Syllables in Verse,Syllable Position in Verse,Ganam Position in Verse,Syllable Position in Ganam,Previous Syllable Origin,Next Syllable Origin,Current Syllable Origin,Previous Syllable Matra,Next syllable Matra,Current Syllable Matra,Previous Syllable Joint,Next Syllable Joint,Current Syllable Joint,Number of Syllables in Ganam,Yati,Yati Position,Distance from Yati,Total Matra in Ganam,Total Matra in Verse,Duration
dhi,1,14,12,5,2,34,36,33,1,1,1,0,0,0,2,0,7,5,2,17,0.261839
pa,1,14,13,6,1,33,30,36,1,1,1,0,0,0,2,0,7,6,2,17,0.216609
thi,1,14,14,6,2,36,15,30,1,1,1,0,0,0,2,0,7,7,2,17,0.281241
ka,1,14,1,1,1,30,42,15,1,1,1,0,0,0,3,0,7,-6,4,17,0.21805
ru,1,14,2,1,2,15,34,42,1,2,1,0,0,0,3,0,7,-5,4,17,0.151804
naa,1,14,3,1,3,42,34,34,1,1,2,0,0,0,3,0,7,-4,4,17,0.416181
ni,1,14,4,2,1,34,33,34,2,1,1,0,0,0,2,0,7,-3,2,17,0.264317
dhi,1,14,5,2,2,34,36,33,1,1,1,0,0,0,2,0,7,-2,2,17,0.281241
pa,1,14,6,3,1,33,48,36,1,1,1,0,0,0,2,0,7,-1,2,17,0.200176
shu,1,14,7,3,2,36,36,48,1,1,1,0,0,0,2,1,7,0,2,17,0.316824
pa,1,14,8,4,1,48,30,36,1,1,1,0,0,0,3,0,7,1,3,17,0.226546
thi,1,14,9,4,2,36,34,30,1,2,1,0,0,0,3,0,7,2,3,17,0.250432
na,1,14,10,4,3,30,15,34,1,2,2,0,1,0,3,0,7,3,3,17,0.421412
ksha,1,14,11,5,1,34,30,15,2,1,2,0,0,1,2,0,7,4,3,17,0.494765
thra,1,14,12,5,2,15,36,30,2,1,1,1,0,0,2,0,7,5,3,17,0.269162
pa,1,14,13,6,1,30,30,36,1,1,1,0,0,0,2,0,7,6,2,17,0.21803
thi,1,14,14,6,2,36,50,30,1,1,1,0,0,0,2,0,7,7,2,17,0.281241
su,1,14,1,1,1,30,42,50,1,1,1,0,0,0,3,0,7,-6,4,17,0.250432
ra,1,14,2,1,2,50,47,42,1,2,1,0,0,0,3,0,7,-5,4,17,0.231407
vaa,1,14,3,1,3,42,51,47,1,1,2,0,0,0,3,0,7,-4,4,17,0.423412
hi,1,14,4,2,1,47,34,51,2,2,1,0,0,0,2,0,7,-3,3,17,0.222273
nii,1,14,5,2,2,51,36,34,1,1,2,0,0,0,2,0,7,-2,3,17,0.447425
pa,1,14,6,3,1,34,30,36,2,1,1,0,0,0,2,0,7,-1,2,17,0.211616
thi,1,14,7,3,2,36,30,30,1,1,1,0,0,0,2,1,7,0,2,17,0.200959
tha,1,14,8,4,1,30,34,30,1,1,1,0,0,0,3,0,7,1,3,17,0.203868
na,1,14,9,4,2,30,41,34,1,2,1,0,0,0,3,0,7,2,3,17,0.200176
yan,1,14,10,4,3,34,17,41,1,1,2,0,0,0,3,0,7,3,3,17,0.483596
ga,1,14,11,5,1,41,34,17,2,1,1,0,0,0,2,0,7,4,2,17,0.200176
na,1,14,12,5,2,17,36,34,1,1,1,0,0,0,2,0,7,5,2,17,0.290781
pa,1,14,13,6,1,34,30,36,1,1,1,0,0,0,2,0,7,6,2,17,0.21571
thi,1,14,14,6,2,36,50,30,1,1,1,0,0,0,2,0,7,7,2,17,0.281241
su,1,14,1,1,1,30,42,50,1,1,1,0,0,0,3,0,7,-6,4,17,0.280161
ra,1,14,2,1,2,50,47,42,1,2,1,0,0,0,3,0,7,-5,4,17,0.263502
vaa,1,14,3,1,3,42,51,47,1,1,2,0,0,0,3,0,7,-4,4,17,0.423412
hi,1,14,4,2,1,47,34,51,2,2,1,0,0,0,2,0,7,-3,3,17,0.234962
nii,1,14,5,2,2,51,36,34,1,1,2,0,0,0,2,0,7,-2,3,17,0.424312
pa,1,14,6,3,1,34,30,36,2,1,1,0,0,0,2,0,7,-1,2,17,0.250432
thi,1,14,7,3,2,36,36,30,1,1,1,0,0,0,2,1,7,0,2,17,0.281241
pra,1,14,8,4,1,30,33,36,1,1,1,0,0,0,3,0,7,1,3,17,0.185301
dha,1,14,9,4,2,36,40,33,1,1,1,0,0,0,3,0,7,2,3,17,0.204442
ma,1,14,10,4,3,33,39,40,1,2,1,0,0,0,3,0,7,3,3,17,0.272589
bhoo,1,14,11,5,1,40,30,39,1,1,2,0,0,0,2,0,7,4,3,17,0.433412
tha,1,14,12,5,2,39,36,30,2,1,1,0,0,0,2,0,7,5,3,17,0.210499
pa,1,14,13,6,1,30,30,36,1,1,1,0,0,0,2,0,7,6,2,17,0.212327
thi,1,14,14,6,2,36,50,30,1,1,1,0,0,0,2,0,7,7,2,17,0.281241
sru,1,14,1,1,1,30,30,50,1,1,1,0,0,0,3,0,7,-6,4,19,0.281241
thi,1,14,2,1,2,50,47,30,1,2,1,0,0,0,3,0,7,-5,4,19,0.213922
